entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
182,183,2003-01-28,2003-01-29,LONG,368.9,365.9,1524.4455175412954,7622.227587706477,-309.9306419506564,-20.330712930333423,1.5244455175412954,-311.45508746819775
187,188,2003-02-04,2003-02-05,LONG,382.0,371.5,1493.3000087944756,7466.500043972378,-1026.1551107553662,-68.717277486911,1.4933000087944757,-1027.6484107641606
189,190,2003-02-06,2003-02-07,LONG,370.2,369.7,1390.5351677180597,6952.675838590299,-46.95215990404037,-3.37655321447866,1.3905351677180597,-48.34269507175843
193,195,2003-02-12,2003-02-14,LONG,352.8,351.5,1385.7008982108837,6928.504491054418,-127.65101811750031,-9.212018140589649,1.3857008982108838,-129.03671901571118
197,198,2003-02-18,2003-02-19,LONG,343.6,349.6,1372.7972263093125,6863.986131546562,599.3003025215276,43.655413271245635,1.3727972263093124,597.9275052952182
200,201,2003-02-21,2003-02-24,LONG,351.9,357.0,1432.5899768388344,7162.949884194172,519.0543394343626,36.23188405797117,1.4325899768388346,517.6217494575238
204,206,2003-02-27,2003-03-03,LONG,346.0,349.8,1484.3521517845868,7421.760758922934,407.55333647264786,27.45664739884401,1.4843521517845868,406.06898432086325
208,209,2003-03-05,2003-03-06,LONG,353.6,356.1,1524.9590502166732,7624.795251083366,269.5416873261936,17.675339366515832,1.5249590502166732,268.0167282759769
211,212,2003-03-10,2003-03-11,LONG,354.7,350.6,1551.760723044271,7758.803615221354,-448.42253767137424,-28.89765999436119,1.551760723044271,-449.9742983944185
213,214,2003-03-12,2003-03-13,LONG,346.0,334.3,1506.7632932048289,7533.816466024145,-1273.7811076948326,-84.53757225433519,1.506763293204829,-1275.2878709880374
215,216,2003-03-14,2003-03-17,LONG,336.3,336.9,1379.234506106025,6896.172530530125,61.51804219919477,4.460303300624189,1.3792345061060252,60.138807693088744
217,219,2003-03-18,2003-03-20,LONG,338.0,332.2,1385.248386875334,6926.2419343766705,-594.2633612335025,-42.89940828402376,1.3852483868753342,-595.6486096203778
220,221,2003-03-21,2003-03-24,LONG,326.0,329.6,1325.6835259132963,6628.417629566482,365.9862494852682,27.607361963190364,1.3256835259132964,364.6605659593549
223,224,2003-03-26,2003-03-27,LONG,330.2,328.4,1362.1495825092318,6810.747912546159,-185.6351641820588,-13.628104179285366,1.3621495825092318,-186.99731376456802
225,226,2003-03-28,2003-03-31,LONG,332.4,336.5,1343.449851132775,6717.2492556638745,414.2707874281294,30.83634175691955,1.343449851132775,412.9273375769966
229,230,2003-04-03,2003-04-04,LONG,325.4,325.4,1384.7425848904745,6923.712924452373,0.0,0.0,1.3847425848904746,-1.3847425848904746
232,233,2003-04-08,2003-04-09,LONG,323.0,326.8,1384.6041106319853,6923.020553159927,407.2365031270557,29.411764705882437,1.3846041106319855,405.8518990164237
237,240,2003-04-15,2003-04-18,LONG,324.9,327.0,1425.1893005336278,7125.946502668139,230.29374662362656,16.15881809787644,1.4251893005336278,228.86855732309294
242,244,2003-04-22,2003-04-24,LONG,333.1,334.4,1448.076156265937,7240.380781329685,141.28632566388865,9.756829780846251,1.4480761562659372,139.83824950762272
247,248,2003-04-29,2003-04-30,LONG,333.4,338.5,1462.0599812166993,7310.299906083496,559.1261175918717,38.24235152969423,1.4620599812166994,557.6640576106549
251,251,2003-05-05,2003-05-05,LONG,342.2,342.2,1517.8263869777647,7589.131934888824,0.0,0.0,1.5178263869777648,-1.5178263869777648
4,5,2003-05-12,2003-05-13,LONG,351.2,349.8,1517.674604339067,7588.3730216953345,-151.24889280144214,-9.965831435079565,1.517674604339067,-152.76656740578122
10,12,2003-05-20,2003-05-22,LONG,367.9,368.3,1502.3979475984888,7511.989737992444,40.837128230459825,2.718129926610724,1.502397947598489,39.33473028286134
15,16,2003-05-27,2003-05-28,LONG,365.1,364.5,1506.331420626775,7531.657103133875,-61.88707562148036,-4.108463434675587,1.506331420626775,-63.393407042107135
20,21,2003-06-03,2003-06-04,LONG,365.2,362.8,1499.9920799225642,7499.960399612821,-246.43900546372674,-16.429353778751217,1.4999920799225641,-247.93899754364932
34,35,2003-06-23,2003-06-24,LONG,352.7,347.1,1475.1981801681993,7375.990900840997,-585.5620788872885,-39.693790757017055,1.4751981801681995,-587.0372770674567
36,37,2003-06-25,2003-06-26,LONG,347.4,344.1,1416.4944524614536,7082.4722623072685,-336.38685183669645,-23.747841105353736,1.4164944524614538,-337.8033462891579
42,44,2003-07-03,2003-07-07,LONG,350.6,347.9,1382.7141178325378,6913.570589162689,-266.20993426610914,-19.25270964061641,1.382714117832538,-267.5926483839417
45,46,2003-07-08,2003-07-09,LONG,344.2,344.2,1355.9548529941435,6779.774264970718,0.0,0.0,1.3559548529941436,-1.3559548529941436
47,48,2003-07-10,2003-07-11,LONG,345.0,344.8,1355.8192575088442,6779.096287544221,-19.6495544566488,-1.4492753623187584,1.3558192575088444,-21.005373714157646
50,51,2003-07-15,2003-07-16,LONG,342.5,343.2,1353.7187201374284,6768.593600687142,69.16810978804266,5.109489051094807,1.3537187201374283,67.81439106790523
52,54,2003-07-17,2003-07-21,LONG,344.4,351.4,1360.5001592442188,6802.500796221094,691.311056526534,50.81300813008131,1.3605001592442187,689.9505563672898
57,58,2003-07-24,2003-07-25,LONG,357.0,362.7,1429.495214880948,7147.47607440474,570.5968294692848,39.915966386554544,1.429495214880948,569.1673342544038
64,65,2003-08-04,2003-08-05,LONG,349.3,351.8,1486.4119483063882,7432.059741531941,265.96263031534284,17.892928714571998,1.4864119483063882,264.47621836703644
68,69,2003-08-08,2003-08-11,LONG,356.7,361.8,1512.859570143092,7564.29785071546,540.7614106903424,35.744322960471145,1.512859570143092,539.2485511201993
70,72,2003-08-12,2003-08-14,LONG,358.5,366.8,1566.7844252551117,7833.922126275558,906.8556994154425,57.880055788005656,1.5667844252551117,905.2889149901873
75,76,2003-08-19,2003-08-20,LONG,361.6,366.2,1657.3133167541303,8286.566583770651,527.0769674411603,31.803097345132503,1.6573133167541303,525.4196541244062
79,81,2003-08-25,2003-08-27,LONG,361.1,372.5,1709.8552821665708,8549.276410832854,1349.5119230614002,78.92550540016599,1.709855282166571,1347.8020677792338
82,84,2003-08-28,2003-09-01,LONG,369.8,375.5,1844.6354889444942,9223.17744472247,710.8181643444832,38.53434288804751,1.8446354889444943,708.9735288555387
86,88,2003-09-03,2003-09-05,LONG,373.8,377.3,1915.532841830048,9577.66420915024,448.3925191549738,23.408239700374533,1.9155328418300481,446.47698631314375
89,90,2003-09-08,2003-09-09,LONG,375.1,382.5,1960.1805404613624,9800.902702306812,966.7645960686508,49.32018128499052,1.9601805404613626,964.8044155281895
93,95,2003-09-12,2003-09-16,LONG,375.3,373.1,2056.6609820141816,10283.304910070909,-301.4024887044482,-14.654942712496593,2.056660982014182,-303.4591496864624
96,97,2003-09-17,2003-09-18,LONG,376.6,376.6,2026.3150670455354,10131.575335227677,0.0,0.0,2.0263150670455357,-2.0263150670455357
102,103,2003-09-25,2003-09-26,LONG,385.6,380.9,2026.1124355388304,10130.562177694152,-617.3968132152875,-30.471991701245106,2.0261124355388302,-619.4229256508263
104,105,2003-09-29,2003-09-30,LONG,382.3,385.3,1964.1701429737477,9820.850714868739,385.33288182848827,19.61810096782631,1.9641701429737477,383.36871168551454
109,110,2003-10-06,2003-10-07,LONG,372.8,376.2,2002.507014142299,10012.535070711496,456.58019367514555,22.800429184549202,2.0025070141422994,454.57768666100327
112,113,2003-10-09,2003-10-10,LONG,370.3,373.6,2047.9647828083994,10239.823914041997,456.2708468314705,22.27923305428039,2.0479647828083998,454.22288204866214
115,116,2003-10-14,2003-10-15,LONG,375.4,373.3,2093.387071013266,10466.935355066329,-292.76191057057713,-13.985082578582613,2.093387071013266,-294.85529764159037
119,121,2003-10-20,2003-10-22,LONG,373.6,386.1,2063.901541249107,10319.507706245535,1726.3630397225531,83.64561027837257,2.063901541249107,1724.299138181304
124,127,2003-10-27,2003-10-30,LONG,388.1,383.8,2236.3314550672376,11181.657275336187,-619.4424927073657,-27.699046637464637,2.2363314550672375,-621.6788241624329
129,130,2003-11-03,2003-11-04,LONG,376.7,379.7,2174.1635726509944,10870.817863254972,432.87036885804247,19.90974250066366,2.1741635726509942,430.6962052853915
133,134,2003-11-07,2003-11-10,LONG,383.3,385.9,2217.233193179534,11086.16596589767,375.9983239151261,16.95799634750826,2.217233193179534,373.78109072194655
138,139,2003-11-14,2003-11-17,LONG,397.4,391.3,2254.6113022517284,11273.056511258641,-865.194322076967,-38.374433819828674,2.2546113022517282,-867.4489333792187
142,143,2003-11-20,2003-11-21,LONG,393.5,395.7,2167.8664089138065,10839.332044569033,303.0054701150159,13.977128335451008,2.167866408913807,300.8376037061021
144,148,2003-11-24,2003-11-28,LONG,391.4,398.0,2197.9501692844165,10989.750846422083,926.5758250688043,42.15636177823214,2.1979501692844168,924.3778748995198
159,162,2003-12-15,2003-12-18,LONG,410.2,410.6,2290.387956774369,11451.939783871843,55.835883880413554,2.4378352023405294,2.2903879567743686,53.54549592363919
167,168,2003-12-25,2003-12-26,LONG,412.5,413.2,2295.7425063667324,11478.712531833662,97.39513663373857,4.242424242424173,2.2957425063667327,95.09939412737184
179,180,2004-01-13,2004-01-14,LONG,423.9,420.4,2305.25244577947,11526.262228897349,-475.8423897280104,-20.641660769049306,2.30525244577947,-478.14764217378985
182,183,2004-01-16,2004-01-19,LONG,406.6,406.9,2257.437681562091,11287.188407810454,41.63989820883697,1.8445646827345945,2.257437681562091,39.38246052727488
187,188,2004-01-23,2004-01-26,LONG,407.7,404.3,2261.3759276148185,11306.879638074093,-471.46665157532084,-20.848663232769056,2.261375927614819,-473.7280275029357
193,195,2004-02-02,2004-02-04,LONG,398.3,400.7,2214.0031248645246,11070.015624322623,333.5179198892047,15.064022093898929,2.214003124864525,331.30391676434016
197,198,2004-02-06,2004-02-09,LONG,403.3,406.6,2247.1335165409587,11235.667582704793,459.67893655995465,20.456236052566396,2.2471335165409587,457.4318030434137
200,201,2004-02-11,2004-02-12,LONG,409.9,413.3,2292.8766968453,11464.3834842265,475.46845384691994,20.736765064650125,2.2928766968453003,473.1755771500746
204,206,2004-02-17,2004-02-19,LONG,415.7,409.6,2340.194254560308,11700.97127280154,-858.5028237200986,-36.685109453932924,2.3401942545603083,-860.8430179746589
208,209,2004-02-23,2004-02-24,LONG,398.8,404.2,2254.1099527628417,11270.549763814208,763.0512628459938,33.851554663991834,2.2541099527628417,760.797152893231
211,212,2004-02-26,2004-02-27,LONG,395.1,396.1,2330.189668052165,11650.948340260824,147.44303138776036,6.327512022272841,2.330189668052165,145.1128417197082
213,214,2004-03-01,2004-03-02,LONG,399.1,393.5,2344.7009522241356,11723.504761120677,-822.4959491640698,-35.07892758707104,2.3447009522241355,-824.8406501162939
218,219,2004-03-08,2004-03-09,LONG,400.7,404.1,2262.216887212506,11311.08443606253,479.88129626420005,21.212877464437447,2.262216887212506,477.61907937698754
223,224,2004-03-15,2004-03-16,LONG,399.3,402.0,2309.978795150205,11549.893975751023,390.4922831771554,16.904583020285425,2.309978795150205,388.1823043820052
229,230,2004-03-23,2004-03-24,LONG,419.6,417.1,2348.797025588405,11743.985127942025,-349.8565636303034,-14.895138226882745,2.3487970255884054,-352.2053606558918
232,233,2004-03-26,2004-03-29,LONG,421.9,416.8,2313.5764895228162,11567.882447614082,-699.1727954827143,-30.22043138184384,2.3135764895228164,-701.4863719722371
237,240,2004-04-02,2004-04-07,LONG,421.4,422.6,2243.4278523255925,11217.139261627963,159.71247168906106,7.119126720455895,2.243427852325593,157.46904383673547
242,244,2004-04-09,2004-04-13,LONG,421.1,407.0,2259.1747567092657,11295.873783546329,-1891.1401133697873,-83.70933270007137,2.2591747567092657,-1893.3992881264965
247,248,2004-04-16,2004-04-19,LONG,400.7,400.4,2069.8348278966164,10349.174139483082,-38.741605213938634,-1.8717244821562975,2.0698348278966168,-40.81144004183525
251,251,2004-04-22,2004-04-22,LONG,393.3,393.3,2065.753683892433,10328.768419462165,0.0,0.0,2.0657536838924333,-2.0657536838924333
