entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
194,195,2003-02-13,2003-02-14,LONG,349.031269159003,349.1081126753627,2062.3122499709166,10311.561249854583,11.35108363652509,0.5504056738588041,2.0623122499709168,9.288771386554172
196,198,2003-02-17,2003-02-19,LONG,349.0487193688303,348.9015572380176,2063.7055656789,10318.527828394499,-21.75192828128237,-1.0540228530190843,2.0637055656789,-23.81563384696127
200,201,2003-02-21,2003-02-24,LONG,349.1003944866952,349.34628336830843,2060.1332206018556,10300.666103009278,36.27637361545005,1.7608751343203,2.060133220601856,34.21624039484819
203,205,2003-02-26,2003-02-28,LONG,349.56504029103155,349.4679525197012,2065.2656566610826,10326.328283305413,-14.3401096147495,-0.6943469750972944,2.0652656566610825,-16.40537527141058
208,210,2003-03-05,2003-03-07,LONG,349.7158065492992,349.94208753156295,2062.8048503703712,10314.024251851857,33.368059079596144,1.6176061964177073,2.0628048503703713,31.305254229225774
211,213,2003-03-10,2003-03-12,LONG,350.09018578453356,349.97824658289517,2067.5006385047554,10337.503192523778,-16.52676797711833,-0.7993597520274873,2.0675006385047556,-18.594268615623086
214,215,2003-03-13,2003-03-14,LONG,349.4902340471513,349.0796652038581,2064.7114982124117,10323.557491062058,-60.6387624726098,-2.9369121315549265,2.0647114982124117,-62.70347397082221
216,217,2003-03-17,2003-03-18,LONG,348.70055206328976,348.36747887690666,2055.3059771167887,10276.529885583943,-49.0798843549204,-2.3879599875328705,2.0553059771167885,-51.13519033203719
219,220,2003-03-20,2003-03-21,LONG,347.50332463620407,346.8339964733159,2047.6356985669831,10238.178492834915,-98.59907396719778,-4.81526445530332,2.047635698566983,-100.64670966576476
224,226,2003-03-27,2003-03-31,LONG,344.7349688595896,344.1066450001323,2032.5386921171182,10162.693460585591,-92.61408552141683,-4.556571832093824,2.0325386921171185,-94.64662421353394
227,228,2003-04-01,2003-04-02,LONG,343.8231849272768,343.39291439333994,2018.3416984850878,10091.70849242544,-63.14531700777799,-3.1285741683468733,2.018341698485088,-65.16365870626308
230,231,2003-04-04,2003-04-07,LONG,342.2902260994164,341.68044643661904,2008.5671496791488,10042.835748395744,-89.4550374103749,-4.453674223670569,2.008567149679149,-91.46360456005405
232,234,2003-04-08,2003-04-10,LONG,341.0989852390188,340.2133398420668,1994.8476089951405,9974.238044975702,-129.48789640119665,-6.491117207014287,1.9948476089951406,-131.4827440101918
235,236,2003-04-11,2003-04-14,LONG,339.833178520154,339.36835751623596,1975.1251973936116,9875.625986968058,-67.53899671554774,-3.41947927172782,1.9751251973936117,-69.51412191294135
237,238,2003-04-15,2003-04-16,LONG,338.9180048698342,338.52836032210485,1964.6980791066703,9823.490395533352,-56.46896029854244,-2.8741800533656723,1.9646980791066706,-58.43365837764911
240,241,2003-04-18,2003-04-21,LONG,337.82486532809776,337.6902464161961,1955.9330303500233,9779.665151750116,-19.485360857209933,-0.9962182014853003,1.9559330303500233,-21.441293887559958
243,244,2003-04-23,2003-04-24,LONG,337.34979428343945,337.257976835578,1952.7168362668895,9763.584181334447,-13.286911637439655,-0.6804320724166509,1.9527168362668894,-15.239628473706544
245,246,2003-04-25,2003-04-28,LONG,337.13477796243023,337.0372025776861,1950.4308919958335,9752.154459979167,-14.112608453918956,-0.7235636244193113,1.9504308919958335,-16.063039345914788
248,250,2003-04-30,2003-05-02,LONG,336.97304444559796,337.23783257232867,1948.0214360939458,9740.10718046973,38.26811635209684,1.9644607417067104,1.948021436093946,36.320094916002894
1,3,2003-05-07,2003-05-09,LONG,337.7531776075467,338.41179215936273,1953.469450331347,9767.347251656734,95.23103643537048,4.874969322874101,1.953469450331347,93.27756698503914
4,5,2003-05-12,2003-05-13,LONG,338.80984724179376,339.1519347505842,1967.4610853791023,9837.305426895511,49.662359788138495,2.5241851113192033,1.9674610853791024,47.694898702759396
9,10,2003-05-19,2003-05-20,LONG,341.20698095697446,342.0378473323035,1974.6153201845161,9873.07660092258,120.20866844147142,6.0877005871826535,1.9746153201845162,118.2340531212869
12,13,2003-05-22,2003-05-23,LONG,343.76492810136494,344.5410753319796,1992.350428152709,9961.752140763545,112.45746299406144,5.644462008539888,1.9923504281527091,110.46511256590874
24,25,2003-06-09,2003-06-10,LONG,350.69020516489644,350.74031281279906,2008.9201950375955,10044.600975187977,7.176010643787201,0.35720735256249975,2.0089201950375957,5.167090448749605
26,28,2003-06-11,2003-06-13,LONG,350.86356492359863,351.1217275013376,2009.6952586049083,10048.476293024542,36.96793855926652,1.8394798117267266,2.0096952586049084,34.958243300661614
29,32,2003-06-16,2003-06-19,LONG,351.3762903747415,352.2134713659305,2014.9389951000078,10074.694975500039,120.01867167134505,5.956441954977805,2.0149389951000076,118.00373267624504
33,35,2003-06-20,2003-06-24,LONG,352.3406716360983,352.1883832422767,2032.6395550014445,10163.197775007222,-21.963644703012033,-1.0805479333002759,2.0326395550014444,-23.99628425801348
40,41,2003-07-01,2003-07-02,LONG,351.3789453282443,351.3796006913105,2029.0401123627423,10145.200561813712,0.0946099622027853,0.004662794078162185,2.0290401123627424,-1.934430150159957
54,55,2003-07-21,2003-07-22,LONG,349.6777921693102,349.71272282856415,2028.7499478402183,10143.749739201092,5.066490832881552,0.24973461309390418,2.0287499478402187,3.0377408850413334
56,57,2003-07-23,2003-07-24,LONG,350.0298194463825,350.24677836896217,2029.2056089729747,10146.028044864874,31.44405406029155,1.5495745685527684,2.029205608972975,29.414848451318573
63,64,2003-08-01,2003-08-04,LONG,351.4637696386642,351.3964185670666,2033.6178362406724,10168.089181203362,-9.742564691066379,-0.47907549380449943,2.0336178362406727,-11.776182527307052
66,67,2003-08-06,2003-08-07,LONG,351.41181386899063,351.44568554401167,2031.8514088615768,10159.257044307884,4.89612243355339,0.24096852812168146,2.0318514088615767,2.864271024691813
71,74,2003-08-13,2003-08-18,LONG,352.45069246474935,353.3883728073025,2032.2810495152803,10161.405247576402,135.169970680678,6.651145554544113,2.0322810495152805,133.13768963116271
75,76,2003-08-19,2003-08-20,LONG,353.64397390323523,354.0348019273992,2052.2517029599544,10261.258514799772,56.70091513947578,2.7628635930815055,2.0522517029599547,54.648663436515825
77,78,2003-08-21,2003-08-22,LONG,354.25471843456165,354.5238177727218,2060.449002475432,10302.24501237716,39.129010428505524,1.8990526036556,2.060449002475432,37.068561426030094
86,88,2003-09-03,2003-09-05,LONG,358.1631632284208,359.215324906995,2066.0092866893365,10330.046433446681,151.73083263497665,7.344150561787491,2.0660092866893365,149.6648233482873
95,96,2003-09-16,2003-09-17,LONG,362.76070450238706,363.1914765056841,2088.4590101915796,10442.295050957899,62.0002153250052,2.9687063534619127,2.08845901019158,59.91175631481362
100,103,2003-09-23,2003-09-26,LONG,365.5117310122863,367.29160939016987,2097.4457736388017,10487.228868194008,255.34053113314968,12.173879980227872,2.097445773638802,253.24308535951087
105,106,2003-09-30,2003-10-01,LONG,368.30477256980765,368.8182150471483,2135.4322364427285,10677.161182213642,74.4235276956993,3.4851739346070945,2.1354322364427283,72.28809545925658
